D 2019-04-11 10:00:39,412 pyplot.py:211 - switch_backend :: Loaded backend module://ipykernel.pylab.backend_inline version unknown.
D 2019-04-11 10:01:05,785 diff.py:128 - update :: diff parser start
D 2019-04-11 10:01:05,786 diff.py:139 - update :: diff parser calculated
D 2019-04-11 10:01:05,786 diff.py:140 - update :: diff: line_lengths old: 1, new: 1
D 2019-04-11 10:01:05,786 diff.py:144 - update :: diff code[replace] old[1:1] new[1:1]
D 2019-04-11 10:01:05,787 diff.py:263 - _parse :: parse_part from 1 to 1 (to 0 in part parser)
D 2019-04-11 10:01:05,787 diff.py:173 - update :: diff parser end
D 2019-04-11 10:01:17,195 diff.py:128 - update :: diff parser start
D 2019-04-11 10:01:17,195 diff.py:139 - update :: diff parser calculated
D 2019-04-11 10:01:17,195 diff.py:140 - update :: diff: line_lengths old: 1, new: 5
D 2019-04-11 10:01:17,195 diff.py:144 - update :: diff code[replace] old[1:1] new[1:5]
D 2019-04-11 10:01:17,196 diff.py:263 - _parse :: parse_part from 1 to 5 (to 4 in part parser)
D 2019-04-11 10:01:17,196 diff.py:173 - update :: diff parser end
D 2019-04-11 10:01:20,611 diff.py:128 - update :: diff parser start
D 2019-04-11 10:01:20,611 diff.py:139 - update :: diff parser calculated
D 2019-04-11 10:01:20,611 diff.py:140 - update :: diff: line_lengths old: 5, new: 5
D 2019-04-11 10:01:20,611 diff.py:144 - update :: diff code[equal] old[1:4] new[1:4]
D 2019-04-11 10:01:20,612 diff.py:214 - _copy_from_old_ :: diff actually copy 1 to 3
D 2019-04-11 10:01:20,612 diff.py:263 - _parse :: parse_part from 4 to 5 (to 4 in part parser)
D 2019-04-11 10:01:20,613 diff.py:144 - update :: diff code[replace] old[5:5] new[5:5]
D 2019-04-11 10:01:20,613 diff.py:173 - update :: diff parser end
D 2019-04-11 10:01:23,619 diff.py:128 - update :: diff parser start
D 2019-04-11 10:01:23,619 diff.py:139 - update :: diff parser calculated
D 2019-04-11 10:01:23,620 diff.py:140 - update :: diff: line_lengths old: 5, new: 5
D 2019-04-11 10:01:23,620 diff.py:144 - update :: diff code[equal] old[1:4] new[1:4]
D 2019-04-11 10:01:23,620 diff.py:214 - _copy_from_old_ :: diff actually copy 1 to 3
D 2019-04-11 10:01:23,621 diff.py:263 - _parse :: parse_part from 4 to 5 (to 4 in part parser)
D 2019-04-11 10:01:23,621 diff.py:144 - update :: diff code[replace] old[5:5] new[5:5]
D 2019-04-11 10:01:23,621 diff.py:173 - update :: diff parser end
D 2019-04-11 10:01:23,629 cache.py:120 - _load_from_file :: pickle loaded: /home/mschmid/anaconda3/lib/python3.7/site-packages/numpy/__init__.py
D 2019-04-11 10:01:30,211 diff.py:128 - update :: diff parser start
D 2019-04-11 10:01:30,211 diff.py:139 - update :: diff parser calculated
D 2019-04-11 10:01:30,211 diff.py:140 - update :: diff: line_lengths old: 5, new: 1
D 2019-04-11 10:01:30,211 diff.py:144 - update :: diff code[replace] old[1:5] new[1:1]
D 2019-04-11 10:01:30,212 diff.py:263 - _parse :: parse_part from 1 to 1 (to 0 in part parser)
D 2019-04-11 10:01:30,212 diff.py:173 - update :: diff parser end
D 2019-04-11 10:01:32,795 diff.py:128 - update :: diff parser start
D 2019-04-11 10:01:32,796 diff.py:139 - update :: diff parser calculated
D 2019-04-11 10:01:32,796 diff.py:140 - update :: diff: line_lengths old: 1, new: 1
D 2019-04-11 10:01:32,796 diff.py:144 - update :: diff code[replace] old[1:1] new[1:1]
D 2019-04-11 10:01:32,796 diff.py:263 - _parse :: parse_part from 1 to 1 (to 0 in part parser)
D 2019-04-11 10:01:32,796 diff.py:173 - update :: diff parser end
D 2019-04-11 10:01:49,749 diff.py:128 - update :: diff parser start
D 2019-04-11 10:01:49,749 diff.py:139 - update :: diff parser calculated
D 2019-04-11 10:01:49,749 diff.py:140 - update :: diff: line_lengths old: 1, new: 1
D 2019-04-11 10:01:49,749 diff.py:144 - update :: diff code[replace] old[1:1] new[1:1]
D 2019-04-11 10:01:49,750 diff.py:263 - _parse :: parse_part from 1 to 1 (to 0 in part parser)
D 2019-04-11 10:01:49,750 diff.py:173 - update :: diff parser end
D 2019-04-11 10:01:49,773 cache.py:120 - _load_from_file :: pickle loaded: /home/mschmid/anaconda3/lib/python3.7/site-packages/matplotlib/pyplot.py
D 2019-04-11 10:01:49,777 cache.py:120 - _load_from_file :: pickle loaded: /home/mschmid/anaconda3/lib/python3.7/importlib/__init__.py
D 2019-04-11 10:01:53,898 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:01:53,914 font_manager.py:1254 - _findfont_cache :: findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans ('/home/mschmid/anaconda3/lib/python3.7/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf') with score of 0.050000.
D 2019-04-11 10:01:53,933 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:01:53,951 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:01:53,969 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:01:53,979 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:02:06,245 diff.py:128 - update :: diff parser start
D 2019-04-11 10:02:06,245 diff.py:139 - update :: diff parser calculated
D 2019-04-11 10:02:06,245 diff.py:140 - update :: diff: line_lengths old: 1, new: 1
D 2019-04-11 10:02:06,246 diff.py:144 - update :: diff code[replace] old[1:1] new[1:1]
D 2019-04-11 10:02:06,246 diff.py:263 - _parse :: parse_part from 1 to 1 (to 0 in part parser)
D 2019-04-11 10:02:06,246 diff.py:173 - update :: diff parser end
D 2019-04-11 10:02:18,654 diff.py:128 - update :: diff parser start
D 2019-04-11 10:02:18,654 diff.py:139 - update :: diff parser calculated
D 2019-04-11 10:02:18,654 diff.py:140 - update :: diff: line_lengths old: 1, new: 1
D 2019-04-11 10:02:18,654 diff.py:144 - update :: diff code[replace] old[1:1] new[1:1]
D 2019-04-11 10:02:18,655 diff.py:263 - _parse :: parse_part from 1 to 1 (to 0 in part parser)
D 2019-04-11 10:02:18,655 diff.py:173 - update :: diff parser end
D 2019-04-11 10:02:18,671 cache.py:120 - _load_from_file :: pickle loaded: /home/mschmid/anaconda3/lib/python3.7/site-packages/numpy/core/fromnumeric.py
D 2019-04-11 10:02:18,721 cache.py:120 - _load_from_file :: pickle loaded: /home/mschmid/anaconda3/lib/python3.7/site-packages/numpy/ma/core.py
D 2019-04-11 10:02:37,983 diff.py:128 - update :: diff parser start
D 2019-04-11 10:02:37,983 diff.py:139 - update :: diff parser calculated
D 2019-04-11 10:02:37,984 diff.py:140 - update :: diff: line_lengths old: 1, new: 1
D 2019-04-11 10:02:37,984 diff.py:144 - update :: diff code[replace] old[1:1] new[1:1]
D 2019-04-11 10:02:37,984 diff.py:263 - _parse :: parse_part from 1 to 1 (to 0 in part parser)
D 2019-04-11 10:02:37,984 diff.py:173 - update :: diff parser end
D 2019-04-11 10:02:40,143 diff.py:128 - update :: diff parser start
D 2019-04-11 10:02:40,144 diff.py:139 - update :: diff parser calculated
D 2019-04-11 10:02:40,144 diff.py:140 - update :: diff: line_lengths old: 1, new: 1
D 2019-04-11 10:02:40,144 diff.py:144 - update :: diff code[replace] old[1:1] new[1:1]
D 2019-04-11 10:02:40,144 diff.py:263 - _parse :: parse_part from 1 to 1 (to 0 in part parser)
D 2019-04-11 10:02:40,144 diff.py:173 - update :: diff parser end
D 2019-04-11 10:02:40,905 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:02:40,933 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:02:40,959 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:02:40,977 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:02:40,987 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:02:48,416 diff.py:128 - update :: diff parser start
D 2019-04-11 10:02:48,416 diff.py:139 - update :: diff parser calculated
D 2019-04-11 10:02:48,417 diff.py:140 - update :: diff: line_lengths old: 1, new: 2
D 2019-04-11 10:02:48,417 diff.py:144 - update :: diff code[replace] old[1:1] new[1:2]
D 2019-04-11 10:02:48,418 diff.py:263 - _parse :: parse_part from 1 to 2 (to 1 in part parser)
D 2019-04-11 10:02:48,418 diff.py:173 - update :: diff parser end
D 2019-04-11 10:02:57,981 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:02:58,005 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:02:58,029 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:02:58,047 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:02:58,057 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:03,946 colorbar.py:507 - _get_ticker_loc :: locator: <matplotlib.colorbar._ColorbarAutoLocator object at 0x7f9d22b84908>
D 2019-04-11 10:03:03,946 colorbar.py:536 - update_ticks :: Using auto colorbar locator on colorbar
D 2019-04-11 10:03:03,946 colorbar.py:537 - update_ticks :: locator: <matplotlib.colorbar._ColorbarAutoLocator object at 0x7f9d22b84908>
D 2019-04-11 10:03:03,947 colorbar.py:693 - _add_solids :: Setting pcolormesh
D 2019-04-11 10:03:03,949 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:03,971 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:03,983 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:03,996 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:04,014 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:04,024 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:04,043 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:04,052 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:04,060 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:04,075 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:09,145 diff.py:128 - update :: diff parser start
D 2019-04-11 10:03:09,145 diff.py:139 - update :: diff parser calculated
D 2019-04-11 10:03:09,146 diff.py:140 - update :: diff: line_lengths old: 2, new: 1
D 2019-04-11 10:03:09,146 diff.py:144 - update :: diff code[replace] old[1:2] new[1:1]
D 2019-04-11 10:03:09,146 diff.py:263 - _parse :: parse_part from 1 to 1 (to 0 in part parser)
D 2019-04-11 10:03:09,147 diff.py:173 - update :: diff parser end
D 2019-04-11 10:03:09,158 cache.py:120 - _load_from_file :: pickle loaded: /home/mschmid/landlab/landlab/components/landform_classifier/landformClassifier.py
D 2019-04-11 10:03:10,027 colorbar.py:507 - _get_ticker_loc :: locator: <matplotlib.colorbar._ColorbarAutoLocator object at 0x7f9d22ab1c18>
D 2019-04-11 10:03:10,028 colorbar.py:536 - update_ticks :: Using auto colorbar locator on colorbar
D 2019-04-11 10:03:10,028 colorbar.py:537 - update_ticks :: locator: <matplotlib.colorbar._ColorbarAutoLocator object at 0x7f9d22ab1c18>
D 2019-04-11 10:03:10,028 colorbar.py:693 - _add_solids :: Setting pcolormesh
D 2019-04-11 10:03:10,030 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:10,056 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:10,071 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:10,083 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:10,103 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:10,113 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:10,133 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:10,143 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:10,151 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:10,166 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:23,641 diff.py:128 - update :: diff parser start
D 2019-04-11 10:03:23,642 diff.py:139 - update :: diff parser calculated
D 2019-04-11 10:03:23,642 diff.py:140 - update :: diff: line_lengths old: 1, new: 1
D 2019-04-11 10:03:23,642 diff.py:144 - update :: diff code[replace] old[1:1] new[1:1]
D 2019-04-11 10:03:23,643 diff.py:263 - _parse :: parse_part from 1 to 1 (to 0 in part parser)
D 2019-04-11 10:03:23,643 diff.py:173 - update :: diff parser end
D 2019-04-11 10:03:35,287 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:35,300 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:35,311 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:35,326 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:35,334 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:35,342 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:35,357 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:35,368 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:35,379 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:35,406 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:35,416 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:35,428 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:35,438 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:35,448 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:35,455 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:42,882 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:42,898 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:42,912 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:42,930 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:42,939 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:42,949 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:42,981 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:42,993 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:43,005 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:43,034 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:43,046 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:43,058 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:43,068 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:43,080 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:43,089 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:46,097 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:46,114 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:46,129 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:46,148 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:46,157 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:46,167 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:46,219 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:46,230 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:46,242 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:46,271 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:46,283 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:46,295 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:46,306 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:46,318 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:46,328 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:51,339 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:03:51,356 _base.py:2515 - _update_title_p :: update_title_pos
